@id,leisure,FIXME,area,wheelchair,source,source_ref,access,operator,name,barrier,surface,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,is_in:city,is_in:country,is_in:country_code,is_in:state,is_in:state_code,designation,amenity
way/25123304,playground,,,,,,,,,,,,,,,,,,,,,,
way/31803346,playground,guessed,,,,,,,,,,,,,,,,,,,,,
way/38063802,playground,,yes,,,,,,,,,,,,,,,,,,,,
way/38077071,playground,,,,,,,,,,,,,,,,,,,,,,
way/40121051,playground,,,,,,,,,,,,,,,,,,,,,,
way/50842470,playground,,,,,,,,,,,,,,,,,,,,,,
way/51253226,playground,,,,,,,,,,,,,,,,,,,,,,
way/59897934,playground,,,limited,,,,,,,,,,,,,,,,,,,
way/61453328,playground,,,,,,,,,,,,,,,,,,,,,,
way/66641441,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/69013272,playground,,,,,,,,,,,,,,,,,,,,,,
way/69335761,playground,,,,,,,,,,,,,,,,,,,,,,
way/69341037,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX6288,,,,,,,,,,,,,,,,,
way/69341109,playground,,,,"survey;bing_imagery",vvvexp97,,,,,,,,,,,,,,,,,
way/69343327,playground,,,,,,,,,,,,,,,,,,,,,,
way/69343328,playground,,,,,,,,,,,,,,,,,,,,,,
way/69486623,playground,,,,,,,,,,,,,,,,,,,,,,
way/70457622,playground,,,,,,,,,,,,,,,,,,,,,,
way/70473128,playground,,,,bing_imagery,,private,,,,,,,,,,,,,,,,
way/71070730,playground,,,,,,private,KinderCare Learning Center,,,,,,,,,,,,,,,
way/72479697,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/72490648,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/73538041,playground,,,,,,,,,,,,,,,,,,,,,,
way/76805069,playground,,,,,,,,,,,,,,,,,,,,,,
way/78132895,playground,,,,,,,,,,,,,,,,,,,,,,
way/78132899,playground,,,,,,,,,,,,,,,,,,,,,,
way/79291977,playground,,,,,,,,,,,,,,,,,,,,,,
way/80087131,playground,,,,,,,,,,,,,,,,,,,,,,
way/80232158,playground,,,,,,,,,,,,,,,,,,,,,,
way/81606417,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/81606418,playground,,,,bing_imagery,,,,,,,,,,,,,,,,,,
way/83205570,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX4037,,,,,,,,,,,,,,,,,
way/84598193,playground,,,,bing_imagery,,permissive,,,,,,,,,,,,,,,,
way/85362918,playground,,yes,,,,,,,,,,,,,,,,,,,,
way/86480889,playground,,,,,,,,,,,,,,,,,,,,,,
way/86796501,playground,,,,,,private,Morgan Hill Clubhouse,,,,,,,,,,,,,,,
way/88161265,playground,,,,,,,,,,,,,,,,,,,,,,
way/92830960,playground,,,,,,,,,,,,,,,,,,,,,,
way/92832116,playground,,,,,,,,,,,,,,,,,,,,,,
way/92832422,playground,,,,,,,,,,,,,,,,,,,,,,
way/93014596,playground,,,,,,,,,,,,,,,,,,,,,,
way/93282583,playground,,,,,,,,,,,,,,,,,,,,,,
way/94483061,playground,,yes,,,,,,,,,,,,,,,,,,,,
way/94499959,playground,,,,,,,,,,,,,,,,,,,,,,
way/94499963,playground,,,,,,,,,,,,,,,,,,,,,,
way/94499964,playground,,,,,,,,,,,,,,,,,,,,,,
way/96660323,playground,,,,,,,,,,,,,,,,,,,,,,
way/97506230,playground,,,,,,,,,,,,,,,,,,,,,,
way/99451834,playground,,,,,,,,,,,,,,,,,,,,,,
way/100575680,playground,,,,,,,,,,,,,,,,,,,,,,
way/100592128,playground,,,,,,,,,,,,,,,,,,,,,,
way/100592433,playground,,,,,,,,,,,,,,,,,,,,,,
way/100592841,playground,,,,,,,,,,,,,,,,,,,,,,
way/100721735,playground,,,,,,,,,,,,,,,,,,,,,,
way/100722153,playground,,,,,,,,,,,,,,,,,,,,,,
way/100722768,playground,,,,,,,,,,,,,,,,,,,,,,
way/100723984,playground,,,,,,,,,,,,,,,,,,,,,,
way/100747744,playground,,,,,,,,,,,,,,,,,,,,,,
way/100945314,playground,,,,,,,,,,,,,,,,,,,,,,
way/101147057,playground,,,,,,,,,,,,,,,,,,,,,,
way/101149368,playground,,,,,,,,,,,,,,,,,,,,,,
way/101621474,playground,,,,,,,,,,,,,,,,,,,,,,
way/101624451,playground,,,,,,,,,,,,,,,,,,,,,,
way/101627619,playground,,,,,,,,,,,,,,,,,,,,,,
way/101648501,playground,,,,,,,,,,,,,,,,,,,,,,
way/101677180,playground,,,,,,,,,,,,,,,,,,,,,,
way/101677670,playground,,,,,,,,,,,,,,,,,,,,,,
way/101677674,playground,,,,,,,,,,,,,,,,,,,,,,
way/101678018,playground,,,,,,,,,,,,,,,,,,,,,,
way/101678274,playground,,,,,,,,,,,,,,,,,,,,,,
way/101678934,playground,,,,,,,,,,,,,,,,,,,,,,
way/101678936,playground,,,,,,,,,,,,,,,,,,,,,,
way/101679079,playground,,,,,,,,,,,,,,,,,,,,,,
way/101682834,playground,,,,,,,,,,,,,,,,,,,,,,
way/101892495,playground,,,,,,,,,,,,,,,,,,,,,,
way/101892497,playground,,,,,,,,,,,,,,,,,,,,,,
way/101917610,playground,,,,,,,,,,,,,,,,,,,,,,
way/101919268,playground,,,,,,,,,,,,,,,,,,,,,,
way/101919935,playground,,,,,,,,,,,,,,,,,,,,,,
way/102167537,playground,,,,,,,,,,,,,,,,,,,,,,
way/102518707,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX6630,,,,,,,,,,,,,,,,,
way/102521248,playground,,,,,,,,,,,,,,,,,,,,,,
way/102521535,playground,,,,,,,,,,,,,,,,,,,,,,
