OBJECTID_1,OBJECTID,PARKID,PARKNAME,OWNERNAME,OWNCODE,OWNERTYPE,SHAPE_AREA,SHAPE_LEN
0,350,350,PACIFIC BEACH PARK,CITY OF SAN DIEGO,10,City,637382.61633899994,7163.77456166000
0,351,351,PACIFIC STREET LINEAR PARK,CITY OF OCEANSIDE,10,City,7957.86850349000,394.61342824300
0,352,352,PACIFIC STREET LINEAR PARK,CITY OF OCEANSIDE,10,City,25944.52679550000,647.36604178300
0,353,353,PALISADES PARK,CITY OF OCEANSIDE,10,City,280088.56999799999,2196.21389563000
0,354,354,PALM RIDGE PARK,CITY OF SAN DIEGO,10,City,355082.06221000000,2335.13385376000
0,356,356,PANTOJA PARK,CITY OF SAN DIEGO,10,City,93577.09701400000,1228.30589233000
0,357,357,PARADISE HILLS COMMUNITY PARK,CITY OF SAN DIEGO,10,City,567426.72853199998,3106.49455351000
0,0,0,LAKE MORENA PARK,CITY OF SAN DIEGO,10,City,2387352.08038000017,8539.02442238000
0,0,0,MCGINTY MOUNTAIN PARK,COUNTY OF SAN DIEGO,20,County,44838.12408500000,877.41126023000
0,360,360,ZONE 5 PARK,CITY OF CARLSBAD,10,City,536014.54280099995,3851.69341672000
0,362,362,VISTA PACIFICA,CITY OF SAN DIEGO,10,City,299295.62235600001,2334.36934793000
0,364,364,AVIARA COMMUNITY PARK,CITY OF CARLSBAD,10,City,1054665.83015999990,5370.98521240000
0,365,365,PARK DE LA CRUZ,CITY OF SAN DIEGO,10,City,482053.75001999998,4293.98899525000
0,366,366,PARKSIDE PARK,CITY OF SAN DIEGO,10,City,239458.34279000000,2337.26336978000
0,371,371,POINT LOMA COMMUNITY PARK,CITY OF SAN DIEGO,10,City,464001.36314099998,3677.67715640000
0,376,376,POWERHOUSE PARK,CITY OF DEL MAR,10,City,198848.89324899999,2782.86170335000
0,378,378,PRESIDIO PARK,CITY OF SAN DIEGO,10,City,800813.49753099994,5449.94669443000
0,379,379,PRINCESS DEL CERRO PARK,CITY OF SAN DIEGO,10,City,237466.08621199999,2025.74640502000
0,380,380,RAINTREE PARK,CITY OF VISTA,10,City,42071.12329190000,1170.59313949000
0,381,381,RANCHO BERNARDO COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1906199.48466000007,5699.02573808000
0,382,382,RANCHO DEL ORO COMMUNITY PARK,CITY OF OCEANSIDE,10,City,174626.14522000001,2233.77355428000
0,325,325,NOBEL ATHLETIC AREA,CITY OF SAN DIEGO,10,City,1428547.36112000002,5702.63780908000
0,327,327,NORTH CLAIREMONT COMMUNITY PARK,CITY OF SAN DIEGO,10,City,631503.18870499998,3613.34406589000
0,329,329,MISSION BAY ATHLETIC AREA,CITY OF SAN DIEGO,10,City,465554.66720700002,2808.68025032000
0,330,330,NORTHMONT PARK,CITY OF LA MESA,10,City,163873.61588800000,1935.86013034000
0,331,331,OAK PARK,CITY OF SAN DIEGO,10,City,151963.68353499999,1560.04494290000
0,332,332,OAK RIPARIAN PARK,CITY OF OCEANSIDE,10,City,281343.81259500002,2329.43560165000
0,334,334,OCEAN BEACH ATHLETIC AREA (ROBB FLD),CITY OF SAN DIEGO,10,City,2957214.57164999982,8976.48559563000
0,335,335,OCEAN BEACH COMMUNITY PARK,CITY OF SAN DIEGO,10,City,36779.89537110000,797.19409812200
