NAME_FULL,CARTO_NAME,CARTONAME2,PARK_TYPE,SHAPE_AREA,SHAPE_LEN
Stoneridge Preserve1,Stoneridge,Preserve,Preserve,10748577.37030000053,18019.73014250000
Bancroft Park,Bancroft,Park,Local Park,191129.15083000000,2345.37467602000
Berkeley Hering Preserve,Berkeley Hering,Preserve,Preserve,2571881.47528999997,10340.27879870000
Christopher Hill (TET),Christopher Hill,(TET),Preserve,3019718.58821999980,8961.55478846000
Clemmens Lane,Clemmens Lane,,Local Park,23679.86237050000,641.34739769300
Cole Grade Park,Cole Grade,Park,Local Park-Improvement Funding Only,351467.90181700001,3470.22539753000
Borrego Springs,Borrego Springs,,Preserve,696051.83989299997,3509.16852406000
Borrego Springs Park Site Dedication,Borrego Springs Park Site Dedication,,Preserve,464007.49272799998,2779.28743374000
Boulder Oaks Preserve (South),Boulder Oaks,Preserve,Preserve,55215906.11129999906,49851.36844290000
Cactus Park,Cactus,Park,Sports Park,2664622.23958999990,10067.74349520000
Campo Stone Store,Campo Stone Store,,Historic Site,35720.39185170000,855.21440359900
Chocolate Summit Tax Parcel (Van Dussen),Chocolate Summit,Tax Parcel (Van Dussen),Preserve,9940.91156511000,483.71117016900
Collier Park,Collier,Park,Local Park,354976.49003200000,2434.57892112000
Cottonwood (Windriver) Park,Cottonwood,(Windriver) Park,Local Park,237454.46883500001,2202.30620464000
Cowles Mountain (Mission Trails Regional Park),Cowles Mountain,(Mission Trails Regional Park),Regional Park,66271951.33320000023,47591.54901030000
Damon Lane Park,Damon Lane,Park,Local Park,1301271.16247000010,5640.78762279000
Del Parque Park,Del Parque,Park,Local Park,380633.76786199998,2722.99057221000
Diamond Trail (TET),Diamond Trail,(TET),Preserve,862652.19512799999,6402.03335877000
Don Dussault Park,Don Dussault,Park,Local Park,32159.89830780000,834.36627010400
Dos Picos Regional Park,Dos Picos,Regional Park,Regional Park/Camping Park,3403328.34482000023,7768.43710821000
El Cajon Operations Maintenance Facility,El Cajon Operations,Maintenance Facility,Maintenance Facility,1816277.21828999999,5583.44116227000
El Capitan Preserve,El Capitan,Preserve,Preserve,113743725.37299999595,100278.59764399999
Felicita Regional Park,Felicita,Regional Park,Regional Park,2263495.52171000000,7235.54105711000
Flinn Springs Regional Park,Flinn Springs,Regional Park,Regional Park,1741979.08315999992,5690.39452446000
Goodan Ranch / Sycamore Canyon Preserve,Goodan Ranch / Sycamore Canyon,Preserve,Preserve,116447850.17299999297,89059.06814880000
Goodland Acres Park,Goodland Acres,Park,Local Park,58601.18173880000,1082.71456693000
Gopher Canyon Reserve,Gopher Canyon,Reserve,Reserve,1038505.62156000000,4278.68993210000
Greenfield,Greenfield,,Preserve,757412.72951300000,3907.28289810000
Blue Sky Ranch Ecological Reserve1,Blue Sky Ranch,Ecological Reserve,ecological reserve,2034001.12335000001,5705.79721752000
Blue Sky Ranch Ecological Reserve2,Blue Sky Ranch,Ecological Reserve,ecological reserve,1614877.10794000002,5412.15717816000
Otay Ranch POM6,Otay Ranch POM,,Preserve,1750312.78605000000,5651.18332093000
Otay Ranch POM7,Otay Ranch POM,,Preserve,10497557.56629999913,14842.57046780000
Otay Reservoir-lease from BLM,Otay Reservoir-lease from BLM,Preserve,open space preserve,1783852.40669000009,5343.58603032000
4-S Ranch Community Park,4-S Ranch,Community Park,Sports Park,1508244.91296000010,11669.75974000000
Aerie Park,Aerie,Park,Local Park-Improvement Funding Only,1786516.05377999996,5373.93814027000
Agua Caliente Park,Agua Caliente,Park,Regional Park/Camping Park,34415908.81400000304,26288.32114670000
Live Oak Park,Live Oak,Park,Local Park,1171985.54377000011,7975.67387668000
Lonny Brewer (Avocado) Park,Lonny Brewer,(Avocado) Park,Local Park,228346.27198100000,1997.64644005000
Los Coches Historical Marker,Los Coches,Historical Marker,Historic Marker,148.29914510900,48.78908457830
Luelf Pond / Holly Oaks Preserve,Luelf Pond / Holly Oaks,Preserve,Preserve,5607709.02666999958,14482.05198790000
Lusardi Creek Open Space Preserve,Lusardi Creek,Preserve,Preserve,9828201.58440000005,14978.66776390000
Magdalena Ecke Open Space,Magdalena Ecke,Preserve,Preserve,1297791.69282000000,4943.07444766000
Mason Wildlife Refuge,Mason,Wildlife Refuge,Wildlife Refuge,16031189.21649999917,21350.83904340000
Mexican Canyon Tax Parcel Lucero,Mexican Canyon,Tax Parcel (Lucero),Preserve,10485.54656280000,619.36189588100
Old Ironsides Park,Old Ironsides,Park,Local Park,146646.25867000001,1663.92097611000
Old Springs Road Preserve,Old Springs Road,Preserve,Preserve,13400275.16300000064,15673.35224420000
Otay Lakes Regional Park,Otay Lakes,Regional Park,Regional Park,3342355.31019000011,11389.80860830000
Otay Mesa East (Marathon)(Furby North),Otay Mesa East,(Marathon)(Furby North),Preserve,3420634.91827999987,13874.32129400000
Pala Mesa Mitigation Property,Pala Mesa,Mitigation Property,Preserve,748816.29019099998,3600.54107524000
Palomar Park,Palomar,Park,Local Park,153831.03910500000,2207.73917542000
Potrero Park,Potrero,Park,Regional Park/Camping Park,5607536.24392999988,15639.23972410000
Quail Botanical Gardens,Quail,Botanical Gardens,Botanical Garden,1233163.28285000008,5154.95064313000
Rainbow Park,Rainbow,Park,Local Park,189139.90410799999,1870.01214665000
Mount Olympus Preserve,Mount Olympus,Preserve,Preserve,34890892.27709999681,42167.45684270000
Mountain Springs Park,Mountain Springs,Park,Preserve,5659115.22726000007,9649.70228859000
Mt. Gower Preserve,Mt. Gower,Preserve,Preserve,66316044.60090000182,72894.16617090000
Nancy Jane Park,Nancy Jane,Park,Local Park,81867.96151100000,1247.76883380000
Oakoasis Preserve,Oakoasis,Preserve,Preserve,19260944.20580000058,28821.95160360000
El Monte Regional Park,El Monte,Regional Park,Regional Park,3800393.87468999997,13863.24615560000
Estrella Drive Park,Estrella Drive,Park,Local Park,300191.11961699999,2464.43003041000
Eucalyptus Park,Eucalyptus,Park,Local Park,294001.76053099998,2530.63466982000
Fallbrook Park and Community Center,Fallbrook Park,and Community Center,Local Park & Community Center,372325.12198000000,4171.38612361000
Guajome Regional Park,Guajome,Regional Park,Regional Park/Camping Park,16974457.65810000151,42431.27589430000
Hellhole Canyon Preserve,Hellhole Canyon,Preserve,Preserve,82673598.91580000520,56534.95586620000
Heritage Park,Heritage Park,,Regional Park/Historic,367666.26173799997,4126.14665463000
Hillsdale Park,Hillsdale,Park,Local Park,23102.60821240000,618.08883024400
Hilton Head Park,Hilton Head,Park,Local Park,431579.42886200000,2684.90437062000
